Recipe Name,Calories,Personal Points,Image URL,Recipe Keys,Summary,URL
California Roll Cucumber Salad,Cals:317,8,https://www.skinnytaste.com/wp-content/uploads/2025/08/California-Roll-Cucumber-Salad-2-1.jpg,"AF, DF, MP","California Roll Cucumber Salad hops on the cucumber salad trend, but adds kani and crispy rice for sushi-inspired crunch in every bite.",https://www.skinnytaste.com/california-roll-cucumber-salad/
Air Fryer Cornish Hen,Cals:434.5,1,https://www.skinnytaste.com/wp-content/uploads/2025/08/Air-Fryer-Cornish-Hens-4.jpg,"AF, DF, GF, HP, LC, W","This Air Fryer Cornish Hen comes out juicy on the inside and crispy on the outside. Roasted with lemon, fresh herbs and spices, it’s packed with flavor easy to make for dinner any night of the week.",https://www.skinnytaste.com/air-fryer-cornish-hen/
Bruschetta Recipe,Cals:50,2,https://www.skinnytaste.com/wp-content/uploads/2008/04/Bruschetta-5.jpg,"DF, Q, V",One of my favorite ways to use up summer tomatoes is with this easy tomato bruschetta recipe—perfect as a simple appetizer or side dish.,https://www.skinnytaste.com/bruschetta-with-tomato-and-basil-1-ww/
Warm Peach Crisp Yogurt Bowl,Cals:342,7,https://www.skinnytaste.com/wp-content/uploads/2025/08/Warm-Peach-Crisp-Yogurt-Bowl-8.jpg,"GF, HP, Q, V","This Peach Crisp Yogurt Bowl combines summer warm peaches over yogurt with crunchy granola–for a delightful, seasonal high-protein breakfast that would be just as good for dessert.",https://www.skinnytaste.com/warm-peach-crisp-yogurt-bowl/
7 Day High Protein Diet Meal Plan,,,https://www.skinnytaste.com/wp-content/uploads/2025/08/Week_501_Aug-11-Aug-17_High-Protein.jpg,,"A free, 7-dayhigh proteindiet meal plan includingbreakfast,lunchanddinner ideasand a shopping list. All recipes includemacrosandWeight Watcherspoints.",https://www.skinnytaste.com/7-day-high-protein-diet-meal-plan-25/
Sheet Pan Chicken Drumsticks with Zucchini and Corn,Cals:330,8,https://www.skinnytaste.com/wp-content/uploads/2025/08/Sheet-Pan-Chicken-with-Zucchini-Corn-Feta-10.jpg,"GF, HP","Crispy Sheet Pan Chicken Drumsticks roast with summer zucchini, corn and red bell peppers finished with creamy feta for an easy, one-pan, weeknight dinner.",https://www.skinnytaste.com/sheet-pan-chicken-drumsticks-with-zucchini-and-corn/
Shrimp Piccata Foil Packets,Cals:165,3,https://www.skinnytaste.com/wp-content/uploads/2025/08/Shrimp-Piccata-Foil-Packs-2.jpg,"GF, HP, LC, Q",Shrimp piccata gets a grilling twist: foil-pack shrimp in lemon-butter-caper sauce with no mess.,https://www.skinnytaste.com/shrimp-piccata-foil-packets/
Summer Rolls with Shrimp and Peanut Hoisin Sauce,Cals:138,3,https://www.skinnytaste.com/wp-content/uploads/2025/06/Shrimp-Summer-Rolls-with-Peanut-Hoisin-21.jpg,"DF, GF, LC, Q","These fresh homemade Vietnamese-style summer rolls are filled with shrimp, avocado, raw veggies and fresh herbs plus a delicious peanut hoisin dipping sauce.",https://www.skinnytaste.com/shrimp-summer-rolls-with-peanut-hoisin/
Free 7 Day Healthy Meal Plan (August 4-10),,,https://www.skinnytaste.com/wp-content/uploads/2025/07/Week_500_Aug-4-Aug-10.jpg,,"A free 7-day, flexible weight loss meal plan includingbreakfast,lunchanddinnerideas and a shopping list. All recipes include macros andWeight Watcherspoints.",https://www.skinnytaste.com/free-7-day-healthy-meal-plan-august-4-10/
Cheese Blintz (Easy Homemade Blintzes),Cals:257,8,https://www.skinnytaste.com/wp-content/uploads/2025/08/Blintz-Blintzes-Cheese-Blintz-17.jpg,"HP, LC, V","Homemade cheese blintz with a light crepe and creamy cottage cheese filling—simple, delicious, and perfect for breakfast or brunch.",https://www.skinnytaste.com/blintz/
7 Day High Protein Diet Meal Plan,,,https://www.skinnytaste.com/wp-content/uploads/2025/07/Week_499_July-28-Aug-3_High-Protein.jpg,,"A free, 7-dayhigh proteindiet meal plan includingbreakfast,lunchanddinner ideasand a shopping list. All recipes includemacrosandWeight Watcherspoints.",https://www.skinnytaste.com/7-day-high-protein-diet-meal-plan-24/
Flourless Chocolate Zucchini Brownies,Cals:179,7,https://www.skinnytaste.com/wp-content/uploads/2020/07/Flourless-Zucchini-Brownies-12.jpg,"GF, KF","These Flourless Zucchini Brownies are fudgy, rich, and moist. A decadent treat that doesn't taste healthy at all!",https://www.skinnytaste.com/zucchini-brownies/
Cucumber Tomato Salad,Cals:92,3,https://www.skinnytaste.com/wp-content/uploads/2025/06/Cucumber-Tomato-Salad-9.jpg,"DF, GF, LC, Q, V","This easy Cucumber Tomato Salad recipe is my go-to side salad all summer. It’s fresh and light, making it perfect for hot weather.",https://www.skinnytaste.com/cucumber-tomato-salad/
Thai Red Curry Swordfish Kabobs,Cals:215,2,https://www.skinnytaste.com/wp-content/uploads/2025/06/Thai-Swordfish-Kabobs-6.jpg,"DF, GF, HP, LC","If you’re looking for a fresh way to cook swordfish, these Red Curry Swordfish Kabobs bring bold Thai-inspired flavors to your table in under 30 minutes.",https://www.skinnytaste.com/thai-red-curry-swordfish-kabobs/
Roasted Zucchini Soup with Feta,Cals:192,6,https://www.skinnytaste.com/wp-content/uploads/2025/07/Roasted-Zucchini-Feta-Soup-13.jpg,"FM, GF, HF, LC, V","This easy Roasted Zucchini Feta Soup is roasted in the oven then blended until smooth and creamy. Enjoy this soup hot or chilled, perfect for summer.",https://www.skinnytaste.com/roasted-zucchini-soup/
Creamy Chicken Foil Packets with Couscous,Cals:515,10,https://www.skinnytaste.com/wp-content/uploads/2025/06/Garlic-Parmesan-Chicken-Foil-Packets-with-Couscous-8.jpg,"HP, KF, MP","This Creamy Garlic Chicken Foil Packet recipe is a cozy, one-packet meal made with tender chicken, couscous, and a luscious parmesan garlic sauce. Bakes all in one for easy cleanup—perfect for busy weeknights!",https://www.skinnytaste.com/chicken-foil-packets-with-couscous/
Heirloom Tomato Salad (With Kalamata Olives & Fresh Basil),Cals:110.5,3,https://www.skinnytaste.com/wp-content/uploads/2009/07/Heirloom-Tomato-Salad-09.jpg,"DF, GF, LC, Q, V","Heirloom Tomato Salad is the perfect easy summer side dish. While the juicy, ripe tomatoes are the star, red onion, briny olives and fresh basil add lots of flavor too.",https://www.skinnytaste.com/heirloom-tomato-salad/
Fresh Tomato Pasta,Cals:210,5,https://www.skinnytaste.com/wp-content/uploads/2025/07/Marinated-Tomato-Pasta-9.jpg,V,"If you live for summer tomatoes, you'll love this easy Fresh Tomato Pasta made with marinated tomatoes, ricotta, and Calabrian chili. It’s creamy, spicy, and ready in minutes!",https://www.skinnytaste.com/fresh-tomato-pasta/
Free 7 Day Healthy Meal Plan (July 21-27),,,https://www.skinnytaste.com/wp-content/uploads/2025/07/Week_498_July-21-July-27.jpg,,"A free 7-day, flexible weight loss meal plan includingbreakfast,lunchanddinnerideas and a shopping list. All recipes include macros andWeight Watcherspoints.",https://www.skinnytaste.com/free-7-day-healthy-meal-plan-july-21-27/
Free 7 Day Healthy Meal Plan (July 7-13),,,https://www.skinnytaste.com/wp-content/uploads/2025/07/Week_496_July-7-July-13.jpg,,"A free 7-day, flexible weight loss meal plan includingbreakfast,lunchanddinnerideas and a shopping list. All recipes include macros andWeight Watcherspoints.",https://www.skinnytaste.com/free-7-day-healthy-meal-plan-july-7-13/
7 Day High Protein Diet Meal Plan,,,https://www.skinnytaste.com/wp-content/uploads/2025/07/Week_497_July-14-July-20_High-Protein.jpg,,"A free, 7-dayhigh proteindiet meal plan includingbreakfast,lunchanddinner ideasand a shopping list. All recipes includemacrosandWeight Watcherspoints.",https://www.skinnytaste.com/7-day-high-protein-diet-meal-plan-23/
Shrimp Foil Packets,Cals:300,4,https://www.skinnytaste.com/wp-content/uploads/2025/06/Greek-Shrimp-in-Foil-Packets-14.jpg,"GF, HP, HF, Q","Easy shrimp foil packets with Mediterranean flavor—juicy shrimp, feta, and veggies grilled in under 20 minutes. Great for summer, camping, or meal prep.",https://www.skinnytaste.com/shrimp-foil-packets/
Instant Pot Egg Bites (Just Like Starbucks),Cals:115,2,https://www.skinnytaste.com/wp-content/uploads/2025/06/Instant-Pot-Egg-Bites-8.jpg,"FM, GF, HP, LC, MP, V","Instant Pot Egg Bites are fluffy, high-protein, and easy to customize—great for meal prep and cheaper to make than buying from Starbucks.",https://www.skinnytaste.com/instant-pot-egg-bites/
Seafood Boil (One Pot),Cals:388,3,https://www.skinnytaste.com/wp-content/uploads/2025/07/Seafood-Boil-18.jpg,"DF, GF","This easy seafood boil recipe features crab legs, shrimp, and clams, along with tender potatoes, corn, and spicy chorizo, making it amazingly flavorful.",https://www.skinnytaste.com/seafood-boil/
Grilled Jerk Chicken with Mango Avocado Salsa,Cals:326.5,2,https://www.skinnytaste.com/wp-content/uploads/2025/06/Grilled-Jerk-Chicken-with-Mango-Avocado-Salsa-12.jpg,"DF, FM, GF, HP, LC, MP","Juicy grilled jerk chicken topped with a cool, refreshing mango avocado salsa. A healthy, high-protein summer dinner that’s easy to make and full of flavor.",https://www.skinnytaste.com/grilled-jerk-chicken/
Spicy Shrimp Crispy Rice,Cals:198,4,https://www.skinnytaste.com/wp-content/uploads/2025/06/Spicy-Shrimp-Crispy-Rice-16.jpg,"AF, DF, GF","These crispy rice bites are topped with a delicious spicy shrimp salad. Air fryer, oven, or stovetop—no deep frying needed for this restaurant-style appetizer at home.",https://www.skinnytaste.com/spicy-shrimp-crispy-rice/
Chocolate Zucchini Bread,Cals:190.5,8,https://www.skinnytaste.com/wp-content/uploads/2009/08/Chocolate-Zucchini-Bread-8.jpg,KF,"This chocolate zucchini bread recipe is the perfect way to use up your summer zucchini! Serve this lightened up recipe for breakfast, snacks, and even dessert.",https://www.skinnytaste.com/chocolate-zucchini-bread/
Grilled Bananas,Cals:189,4,https://www.skinnytaste.com/wp-content/uploads/2025/07/Grilled-Banana-Boats-11.jpg,"DF, GF, KF, Q, V","These Grilled Bananas are wrapped in foil and stuffed with chocolate chips, mini marshmallows, and chopped almonds. A quick, gooey dessert perfect for summer cookouts, camping, or an easy sweet treat on the grill.",https://www.skinnytaste.com/grilled-bananas/
Panzanella (Tuscan Bread Salad),Cals:104.3,2,https://www.skinnytaste.com/wp-content/uploads/2010/08/Panzanella-11.jpg,V,"This panzanella recipe might just be the perfect summer salad! It pairs grilled bread with juicy heirloom tomatoes, crisp cucumber, and fresh basil.",https://www.skinnytaste.com/panzanella/
Cottage Cheese Cacio e Pepe,Cals:243,7,https://www.skinnytaste.com/wp-content/uploads/2025/06/Cacio-Pepe-15.jpg,"FM, HP, Q, V","This Cottage Cheese Cacio e Pepe is a creamy, protein-boosted twist on the Italian classic. Made with blended cottage cheese, Parmesan, and black pepper, it comes together in under 20 minutes—no cream needed!",https://www.skinnytaste.com/cottage-cheese-cacio-e-pepe/
Air Fryer Greek Chicken,Cals:414,5,https://www.skinnytaste.com/wp-content/uploads/2025/06/Air-Fryer-Greek-Chicken-10.jpg,"AF, FM, GF, HP, HF, Q","This easy Air Fryer Greek Chicken recipe is packed with flavor, featuring juicy chicken, tender chickpeas, zucchini, and creamy feta. A high-protein, one-pot dinner you can make in minutes!",https://www.skinnytaste.com/air-fryer-greek-chicken/
7 Day High Protein Diet Meal Plan,,,https://www.skinnytaste.com/wp-content/uploads/2025/06/Week_495_June-30-July-6_High-Protein.jpg,,"A free, 7-dayhigh proteindiet meal plan includingbreakfast,lunchanddinner ideasand a shopping list. All recipes includemacrosandWeight Watcherspoints.",https://www.skinnytaste.com/7-day-high-protein-diet-meal-plan-22/
Grilled Rosemary Lamb Chops Recipe,Cals:232,1,https://www.skinnytaste.com/wp-content/uploads/2016/06/Grilled-Lamb-Chops-10.jpg,"DF, GF, LC, Q, W","Succulent grilled lamb chops are jazzed up with fresh rosemary, lemon juice, and garlic in this easy, flavorful recipe.",https://www.skinnytaste.com/grilled-rosemary-lamb-chops-4-ww-pts/
Mexican Street Corn Recipe,Cals:137,3,https://www.skinnytaste.com/wp-content/uploads/2025/06/Mexican-Street-Corn-09.jpg,"GF, Q, V","This Mexican street corn recipe is always a hit! Even though it's a little bit lighter than the traditional version, it's still made with all the classic elements.",https://www.skinnytaste.com/mexican-street-corn-recipe/
Crab Stuffed Flounder,Cals:236,3,https://www.skinnytaste.com/wp-content/uploads/2025/06/Crab-Stuffed-Flounder-16.jpg,"GF, HP, LC","This Stuffed Flounder is light, fresh, and packed with crab, corn, zucchini, and basil—perfect for a simple summer dinner.",https://www.skinnytaste.com/crab-stuffed-flounder/
Grilled Eggplant Parmesan,Cals:324,10,https://www.skinnytaste.com/wp-content/uploads/2025/06/Grilled-Eggplant-Parmesan-15.jpg,"GF, V","Grilled Eggplant Parmesan is a lighter, summer-friendly twist on the classic—made by layering grilled eggplant with marinara, mozzarella, ricotta, and fresh basil. It’s low-carb, gluten-free, and perfect for warm-weather cooking.",https://www.skinnytaste.com/grilled-eggplant-parmesan/
Roasted Yellow Squash,Cals:23,1,https://www.skinnytaste.com/wp-content/uploads/2012/08/Roasted-Yellow-Squash-14.jpg,"DF, GF, LC, Q, V","Roasted yellow squash comes out tender with golden, caramelized edges—perfect with grilled chicken, fish, or whatever protein you’re cooking up. An easy, 5-ingredient side dish made in one pan!",https://www.skinnytaste.com/roasted-yellow-squash/
Gnudi (Cottage Cheese) Recipe,Cals:290.5,7,https://www.skinnytaste.com/wp-content/uploads/2025/06/Cottage-Cheese-Gnudi-24.jpg,"HP, KF, MP, V","These Cottage Cheese Gnudi are a fun twist on the Italian classic—pillowy, protein-packed, and surprisingly easy to make.",https://www.skinnytaste.com/cottage-cheese-gnudi/
Free 7 Day Healthy Meal Plan (June 23-29),,,https://www.skinnytaste.com/wp-content/uploads/2025/06/Week_494_June-23-June-29.jpg,,"A free 7-day, flexible weight loss meal plan includingbreakfast,lunchanddinnerideas and a shopping list. All recipes include macros andWeight Watcherspoints.",https://www.skinnytaste.com/free-7-day-healthy-meal-plan-june-23-29/
Taco Seasoning Recipe,Cals:8,0,https://www.skinnytaste.com/wp-content/uploads/2023/06/Taco-Seasoning-Recipe-2.jpg,"DF, GF, Q, V, W","Ditch the packet—this easy taco seasoning recipe is a flavorful blend of pantry spices—no preservatives or additives, just bold, customizable flavor! Perfect for tacos, chili, and more. This recipe makes about 1 cup of seasoning, enough for 8 full batches using 1 lb of meat each.",https://www.skinnytaste.com/taco-seasoning-recipe/
7 Day High Protein Diet Meal Plan,,,https://www.skinnytaste.com/wp-content/uploads/2025/06/Week_493_June-16-June-22_HP.jpg,,"A free, 7-dayhigh proteindiet meal plan includingbreakfast,lunchanddinner ideasand a shopping list. All recipes includemacrosandWeight Watcherspoints.",https://www.skinnytaste.com/7-day-high-protein-diet-meal-plan-21/
Homemade Ketchup,Cals:20.5,1,https://www.skinnytaste.com/wp-content/uploads/2012/06/Homemade-Ketchup-10.jpg,"DF, Q, V",A healthier recipe for homemade ketchup with no high fructose corn syrup. Instead it's sweetened naturally with honey and it tastes amazing!,https://www.skinnytaste.com/homemade-ketchup/
Mediterranean Fish Foil Packets,Cals:267,3,https://www.skinnytaste.com/wp-content/uploads/2025/06/Mediterranean-Fish-Foil-Packets-19.jpg,"DF, GF, HP, LC, Q","These Mediterranean Grilled Fish Foil Packets, made with white fish, tomatoes, olives, and sweet peppers, are fresh, flavorful, and perfect for summer grilling. No cleanup required!",https://www.skinnytaste.com/mediterranean-grilled-fish-foil-packets/
Red Potato Salad,Cals:107,1,https://www.skinnytaste.com/wp-content/uploads/2009/06/Baby-Red-Potato-Salad-5.jpg,"GF, V","This healthy Baby Red Potato Salad is light, creamy, and perfect for summer cookouts! Made with just a touch of mayo, Dijon mustard, olive oil, and vinegar—no peeling required. A quick, BBQ side dish everyone will love.",https://www.skinnytaste.com/baby-red-potato-salad/
7 Day High Protein Diet Meal Plan,,,https://www.skinnytaste.com/wp-content/uploads/2025/05/Week_491_June-2-June-8_High-Protein.jpg,,"A free, 7-dayhigh proteindiet meal plan includingbreakfast,lunchanddinner ideasand a shopping list. All recipes includemacrosandWeight Watcherspoints.",https://www.skinnytaste.com/7-day-high-protein-diet-meal-plan-20/
Free 7 Day Healthy Meal Plan (June 9-15),,,https://www.skinnytaste.com/wp-content/uploads/2025/06/Week_492_June-9-June-15.jpg,,"A free 7-day, flexible weight loss meal plan includingbreakfast,lunchanddinnerideas and a shopping list. All recipes include macros andWeight Watcherspoints.",https://www.skinnytaste.com/free-7-day-healthy-meal-plan-june-9-15/
